fingerprint,age,sex,handedness,favcolor,enoughhours,superpower,residence,family,pets,maritalstatus,military,education
"0.768633540594","lt65","female","right","white","no","invisible","4","yes","no","cohab","yes","assoc"
"0.127416367814","lt35","male","right","white","no","invisible","17","yes","yes","civunion","no","prof"
"0.525264705215","ge75","male","right","white","no","intelligence","17","no","yes","cohab","yes","trade"
"0.957133657845","lt35","female","left","pink","yes","healing","17","no","yes","separated","no","doctor"
"0.552799875824","lt55","female","left","green","no","teleport","10","no","no","dompart","no","hs"
"0.191590634851","lt45","female","left","red","no","timefreeze","6","no","no","cohab","yes","assoc"
"0.782639497248","lt55","male","left","black","yes","healing","19","no","yes","divorced","no","master"
"0.139091350052","lt65","female","left","black","no","teleport","18","no","yes","separated","yes","somecol"
"0.451343123655","lt55","female","left","blue","no","flight","8","no","no","married","no","under"
"0.35490828534","lt55","male","right","pink","no","invisible","8","yes","no","single","no","elementary"
"0.488029471276","lt55","male","left","purple","no","flight","1","yes","yes","single","no","doctor"
"0.537628601619","lt55","male","right","yellow","no","timetravel","12","yes","yes","civunion","yes","prof"
"0.323100971596","lt45","male","right","brown","no","timetravel","7","yes","no","divorced","yes","hs"
"0.204606894738","lt75","female","right","yellow","yes","mindre","10","no","no","separated","no","elementary"
"0.649062378844","lt12","female","right","yellow","yes","timefreeze","18","no","no","dompart","yes","master"
"0.606026437048","lt18","female","left","brown","no","mindco","4","no","no","widowed","no","master"
"0.87006480574","lt55","male","left","white","yes","invisible","15","no","no","cohab","no","elementary"
"0.944217923164","ge75","female","right","black","yes","strength","19","yes","no","separated","no","elementary"
"0.565310925414","lt55","male","left","green","yes","mindco","14","no","no","widowed","yes","hs"
"0.592396129496","lt55","female","left","white","no","timefreeze","18","no","no","separated","yes","none"
"0.894078087179","lt35","male","left","yellow","no","timetravel","4","yes","yes","widowed","no","assoc"
"0.0125934506204","lt55","female","left","orange","no","mindco","18","yes","no","married","no","prof"
"0.892277320746","lt35","female","right","orange","yes","strength","14","no","yes","widowed","yes","doctor"
"0.548420505974","lt18","female","right","green","no","teleport","9","no","no","single","yes","under"
"0.97771377949","lt65","male","left","pink","no","intelligence","15","yes","yes","civunion","no","prof"
"0.0613720113463","lt18","female","left","black","no","healing","12","yes","no","single","no","elementary"
"0.0486549713308","lt55","male","right","purple","yes","intelligence","13","yes","no","widowed","no","trade"
"0.790836351197","lt65","male","left","green","yes","mindre","13","yes","yes","dompart","no","hs"
"0.432787970529","lt18","male","left","green","yes","mindco","15","yes","yes","widowed","no","none"
"0.249377147658","lt55","male","right","blue","yes","intelligence","11","yes","no","separated","no","under"
"0.205891441833","lt12","male","left","green","yes","healing","5","no","no","married","no","trade"
"0.394612638841","lt75","male","left","red","yes","timefreeze","16","no","yes","widowed","yes","elementary"
"0.884652123401","lt55","female","right","purple","yes","timefreeze","9","yes","no","married","no","elementary"
"0.121972166311","lt18","male","left","orange","yes","invisible","17","no","no","divorced","yes","somecol"
"0.481336648424","lt35","male","right","orange","yes","timetravel","2","yes","no","cohab","no","assoc"
"0.54917366933","lt35","female","right","black","yes","flight","15","yes","yes","separated","no","under"
"0.200032259268","lt55","female","right","green","yes","invisible","11","no","yes","dompart","yes","doctor"
"0.236794720506","lt45","female","left","green","yes","strength","11","yes","yes","separated","no","master"
"0.14633686381","lt45","female","left","red","yes","intelligence","4","no","no","married","yes","none"
"0.926910057534","lt25","female","left","yellow","yes","intelligence","3","yes","yes","single","no","elementary"
"0.187403709727","lt35","female","right","pink","no","strength","9","no","yes","dompart","yes","somecol"
"0.300881279748","lt18","female","right","black","yes","invisible","8","yes","yes","separated","no","assoc"
"0.518266204991","lt25","female","left","pink","yes","strength","20","no","no","married","yes","under"
"0.253392405308","lt45","female","right","orange","yes","strength","8","yes","no","single","yes","hs"
"0.584225157693","lt45","male","right","yellow","no","invisible","6","yes","yes","civunion","yes","elementary"
"0.222694060532","lt55","female","right","green","no","teleport","1","no","yes","separated","no","master"
"0.984408451786","lt25","male","right","black","yes","strength","8","no","no","dompart","no","trade"
"0.0594291604172","lt45","male","left","brown","no","teleport","12","no","yes","cohab","yes","elementary"
"0.0620333464659","lt45","female","right","orange","no","strength","17","yes","no","separated","no","elementary"
"0.177627409032","lt45","female","right","white","yes","flight","4","no","no","married","no","none"
"0.315225624433","lt18","female","left","blue","yes","flight","7","yes","no","single","yes","doctor"
"0.0416666910383","lt18","female","left","pink","no","strength","10","no","yes","married","yes","assoc"
"0.0811969910136","lt18","female","right","brown","no","strength","14","no","yes","dompart","yes","hs"
"0.265862389253","lt35","female","left","red","yes","flight","15","yes","no","widowed","no","master"
"0.171881369431","lt18","male","right","orange","no","mindre","10","no","no","married","yes","somecol"
"0.0918183442242","lt25","male","left","orange","yes","timetravel","9","no","yes","dompart","no","doctor"
"0.475311642867","lt55","male","left","brown","no","invisible","6","no","no","divorced","yes","master"
"0.79100583037","lt25","female","right","blue","yes","strength","18","no","no","separated","yes","none"
"0.110826752984","lt35","female","right","purple","no","flight","6","no","no","single","no","prof"
"0.705805908927","lt45","female","right","blue","no","strength","4","yes","yes","dompart","no","elementary"
"0.201729172554","lt18","male","left","brown","no","flight","2","no","yes","divorced","yes","trade"
"0.513482737594","lt45","male","right","red","no","invisible","10","yes","no","married","yes","assoc"
"0.300196103137","lt25","male","right","pink","no","timefreeze","17","no","yes","widowed","no","prof"
"0.679047694875","lt35","female","right","green","no","mindco","12","no","yes","single","no","hs"
"0.379835192712","lt35","male","right","orange","no","mindco","17","yes","no","separated","yes","under"
"0.955110624875","lt55","male","right","yellow","yes","mindre","14","no","no","separated","yes","prof"
"0.516115873714","lt25","male","left","white","no","intelligence","2","no","no","divorced","yes","assoc"
"0.191228667851","lt18","male","left","black","no","invisible","9","yes","yes","dompart","no","under"
